id,location,products
n4377,South Korea,Roof Module Part of Vehicle
n4378,China,"Cold-rolled steel, Hot-rolled strip, Iron"
n4379,Japan,"Entertainment Content, Entertainment Content"
n4380,China,"Sulphuric acid, Sulphuric acid, Aluminium hydroxide"
n4381,China,"Steel plates, Steel, Steel, Iron, Steel billets, Iron, Household Products"
n4382,Australia,"Gold, Diamonds"
n4383,Japan,"Railroad rails, Real Estate Services"
n4384,Japan,"Chemical grade alumina, Household Products"
n4385,,"Pgm, Software"
n4386,South Korea,"Oil Pump Part of Vehicle, Oil Pump Part of Vehicle, Distributor Part of Vehicle, LSI Part of Vehicle, LPG System Part of Vehicle"
n4387,Mexico,"Refined lead, Chemical grade alumina, Hot-rolled sheet"
n4388,United States,Niobium
n4389,Japan,Various power semiconductor devices for Power ECU Part of Vehicle
n4390,,"Lithium, Lithium, High purity, Covers, Leisure Products"
n4391,Malaysia,Pyrite
n4392,India,"Power Steering Reservoir Tank Part of Vehicle, Industrial Support Services, Home Construction, Categories by Production process Part of Vehicle, Home Construction, Various processes Part of Vehicle, Home Construction, Power Steering Reservoir Tank Part of Vehicle"
n4393,,
n4394,,"Railroad rails, Coal, Railroad rails"
n4395,United States,"Fog Lamp Switch Part of Vehicle, Commercial Support Services, Component Parts Part of Vehicle, Industrial Support Services"
n4396,United States,Air Suspension Part of Vehicle
n4397,United Kingdom,"Power control system (Electric Vehicle/Hybrid Vehicle/Fuel Cell Vehicle) Part of Vehicle, Sun Gear Part of Vehicle, Air Suspension Part of Vehicle"
n4398,United States,"High purity, Flat bars, Railroad rails, Aluminium slab, Iron ore lumps, Household Products, Software, Tinplate, Covers, Covers, Remelt, Organic-coated rolls, Limestone, Iron ore, Iron ore, Limestone, Iron pellets, Tin, Dolomite, Manganese"
n4399,India,Various power semiconductor devices for Power ECU Part of Vehicle
n4400,China,Coal
n4401,Taiwan,Hot-rolled strip
n4402,Denmark,"Turbine Wheel Part of Vehicle, Turbine Wheel Part of Vehicle"
n4403,Taiwan,"Copper, Aluminium wire rod, Aluminium wire rod, Steel"
n4404,,"Sulphuric acid, Chemical grade alumina, Coke, Sulphuric acid"
n4405,,"Semiconductor Part of Vehicle, IC Part of Vehicle"
n4406,India,Passenger Airbag Module Part of Vehicle
n4407,,Software
n4408,,"Coal, Long flame coal, Coking coal, Coal, Coal, Coal, Real Estate Services"
n4409,China,"Steel, Steel, Wire rods, Black plates"
n4410,China,Common Rail Part of Vehicle
n4411,United States,Lithium
n4412,,Billet
n4413,,"Phosphates, Software, Pyrite, Pci"
n4414,,"Industrial Support Services, Industrial Support Services"
n4415,United States,Air Cleaner Element Part of Vehicle
n4416,China,"Diesel Injector Pump Part of Vehicle, Engine Parts Part of Vehicle, Engine Part of Vehicle, Diesel Injection System Part of Vehicle, Engine Parts Part of Vehicle, Electronics Parts Part of Vehicle, Electronics Parts Part of Vehicle, Component Parts Part of Vehicle, Parts For Air Purifier Part of Vehicle"
n4417,United States,
n4418,United States,Machining Part of Vehicle
n4419,,
n4420,Japan,"Seat Part of Vehicle, Clutch Cover Complete Part of Vehicle, Rubber-metal parts Part of Vehicle, Exhaust Pipe Part of Vehicle, Door Trim Part of Vehicle, Seat Part of Vehicle"
n4421,Taiwan,IC Regulator Part of Vehicle
n4422,United States,"Gasoline Fuel Injection System Part of Vehicle, Other Fuel Systems Part of Vehicle, Diesel Injection System Part of Vehicle, Oil Pump Part of Vehicle"
n4423,South Korea,"Steel, Steel meshes"
n4424,India,Various Lamps Part of Vehicle
n4425,Russian Federation,
n4426,South Africa,Gold
n4427,Colombia,
n4428,Malaysia,Asset Management
n4429,China,Remelt
n4430,,Steel
n4431,United States,Electronics/Electric Parts Part of Vehicle
n4432,United States,Asset Management
n4433,United Kingdom,Small form and t-foundry
n4434,,"Fertilizer, Railroad rails, Railroad rails, Pyrite, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products, Rutile, Forestry, Paper & Wood Products, Molten metal, Fertilizer, Alumina, Ilmenite, Sulphuric acid, Refined cobalt"
n4435,Australia,Transmission Part of Vehicle
n4436,Turkey,Copper
n4437,United States,"Adhesive Part of Vehicle, Side Impact Beam Part of Vehicle, Wiper Blade Part of Vehicle, CNG System Part of Vehicle, Audio Part of Vehicle, Filler Neck Part of Vehicle, Car Navigation Part of Vehicle, Health Care Facilities & Svcs"
n4438,United States,Asset Management
n4439,Turkey,"Coke, Palladium, Aluminium, Refined zinc, Sodium tripolyphosphate"
n4440,,
n4441,United States,"Entertainment Content, Entertainment Content, Entertainment Content, Small form and t-foundry, Entertainment Content, Software"
n4442,Poland,"Molten metal, Fertilizer"
n4443,,
n4444,India,"Steel, Fertilizer"
n4445,United States,"Software, Software, High purity, Tinplate, Software, T-foundry, T-foundry, T-foundry"
n4446,,"Refined cobalt, Sulphuric acid, Banking, Heavy angles, Sulphuric acid"
n4447,,"Forestry, Paper & Wood Products, Fertilizer, Sulphuric acid"
n4448,Japan,"Electronics/Electric Parts Part of Vehicle, Adhesive Part of Vehicle, Optical Fiber Part of Vehicle"
n4449,China,Leisure Products
n4450,China,"Hydroforming Part of Vehicle, Various power semiconductor devices for Power ECU Part of Vehicle"
n4451,Taiwan,"PCB, PCB Mounted Products Part of Vehicle, Pci, Pci"
n4452,,Auto Cruise Control System Part of Vehicle
n4453,,
n4454,China,"Food, Aluminium billet, Food, Food, Food, Food, Food, Food"
n4455,Japan,"Pressure Regulator Part of Vehicle, Oil Level Gauge Part of Vehicle, Oil Level Gauge Part of Vehicle, Tachometer Part of Vehicle, High Pressure Pipe Part of Vehicle, Air Conditioner Pressure Switch Part of Vehicle, Pressure Regulator Part of Vehicle, High Pressure Sensor Part of Vehicle, Pressure Regulator Part of Vehicle, Instrument Meter Part of Vehicle, Relay Part of Vehicle"
n4456,Taiwan,"Generator (Electric Vehicle/Hybrid Vehicle/Fuel Cell Vehicle) Part of Vehicle, Electronics/Electric Parts Part of Vehicle, Automatic Control Parts Part of Vehicle, IGBT devices for Power ECU Part of Vehicle, LCD Part of Vehicle, Various Semiconductors Part of Vehicle"
n4457,China,
n4458,,
n4459,China,Asset Management
n4460,Japan,"Iron ore, Steel, Chemical grade alumina, Food, Food, Real Estate Services, Asset Management"
n4461,,"Small/General Parts Part of Vehicle, Piezoresistive Device Part of Vehicle, Component Parts Part of Vehicle"
n4462,Japan,"Leisure Facilities & Services, Telematics Communication System Part of Vehicle"
n4463,,"Fertilizer, Asset Management, Pulverized coal injection"
n4464,China,"Forestry, Paper & Wood Products"
n4465,United States,"Alumina hydrate, Alumina hydrate, Household Products"
n4466,China,Steel
n4467,China,Carburetor Parts Part of Vehicle
n4468,Japan,"Palladium, Palladium, Palladium, Alumina hydrate, Organic-coated rolls, Tinplate"
n4469,Canada,Hot-rolled steel
n4470,Japan,"Engine Lubricating Parts Part of Vehicle, Electronics Parts Part of Vehicle, Paint Coating Part of Vehicle"
n4471,Japan,Tool Set Part of Vehicle
n4472,Japan,"Washer Pump Part of Vehicle, Water Pump Part of Vehicle, Valve Guide Part of Vehicle, Water Pump Part of Vehicle"
n4473,,Steel slab
n4474,,"Asset Management, Asset Management"
n4475,Hong Kong,"Passenger Airbag Module Part of Vehicle, Passenger Airbag Module Part of Vehicle, Air Flow Meter Part of Vehicle, Passenger Airbag Module Part of Vehicle, Passenger Airbag Module Part of Vehicle, Passenger Airbag Module Part of Vehicle, Passenger Airbag Module Part of Vehicle"
n4476,Malaysia,Asset Management
n4477,,
n4478,Switzerland,Advertising & Marketing
n4479,Taiwan,Consumer Services
n4480,China,Home & Office Products
n4481,United States,Electric Power Steering Part of Vehicle
n4482,,"Hot-rolled steel, Steel, Steel, Black plates, Steel, Metallurgical coal, Steel, Cold-rolled sheet, Iron ore, Steel, Steel, Steel, Hot-rolled steel, Steel plates, Steel, Steel, Steel, Steel sheet piles, Railroad rails, Covers, Wire rods"
n4483,Japan,Nickel
n4484,,
n4485,Vietnam,
n4486,China,"Bauxite, Rhodium, Molten metal, Aluminium hydroxide"
n4487,United States,Auxiliary Brake Part of Vehicle
n4488,India,Fertilizer
n4489,South Africa,Asset Management
n4490,,"Electric Shock Absorber Part of Vehicle, Air Conditioner Condenser Part of Vehicle, Immobilizer Part of Vehicle, Clean energy system Part of Vehicle"
n4491,Cayman Islands,"Alumina, Aluminium ingot, High-carbon ferromanganese, Copper, Aluminium, Iron ore lumps, Aluminium, Aluminium, Aluminium wire rod, Aluminium, Steel bar, Aluminium, Welded pipes and rebars, Aluminium, Hot-rolled steel, Hot-rolled steel"
n4492,Singapore,Real Estate Services
n4493,India,"Coke, Coal, Lead, Coke, Coke, Coal, Coke"
n4494,Germany,Software
n4495,Japan,High-carbon ferromanganese
n4496,Japan,Chemical grade alumina
n4497,,"Asset Management, Banking, Banking, Asset Management, Banking"
n4498,Japan,Categories by Production process Part of Vehicle
n4499,Canada,Ferrite strontium powder
n4500,Germany,
n4501,China,"Wire rods, Aluminium wire rod, Aluminium, Hot-rolled sheet, Chemical grade alumina, Household Products"
n4502,Cayman Islands,Asset Management
n4503,China,"Cold-rolled steel, Hot dip galvanized sheet, Steel"
n4504,,"Cold-rolled steel, Steel, Hot-rolled sheet, Hot-rolled coil"
n4505,,
n4506,,"Covers, Covers"
n4507,,
n4508,Oman,
n4509,China,"Household Products, Palladium, Aluminium rod, Hot-rolled sheet, Hot-rolled strip, Ferrite strontium powder, Household Products"
n4510,,
n4511,,"Metallurgical coal, Steel, Steel, Aluminium high purity, Steel plates, Hot-rolled strip, Steel bar, Wire rod, Black plates, Hot-rolled strip, Steel, Steel, Cold-rolled sheet, Steel bar"
n4512,Tunisia,"Coal, Gold"
n4513,Germany,Industrial Support Services
n4514,Switzerland,"Phosphates, Heavy angles, Sinter"
n4515,China,"Molten metal, Household Products"
n4516,China,"Coal, Coal, Thermal coal"
n4517,China,"Automatic Transmission Carrier Part of Vehicle, LCD Part of Vehicle, Turn Signal Lamp Part of Vehicle"
n4518,Taiwan,Optical Fiber Part of Vehicle
n4519,China,"Air Conditioner Compressor Part of Vehicle, Refrigerant Tank Part of Vehicle, Air Pump Part of Vehicle"
n4520,Germany,Leisure Products
n4521,Finland,"Forestry, Paper & Wood Products"
n4522,United Kingdom,"Publishing & Broadcasting, Specialty Finance"
n4523,Spain,"Clean energy system Part of Vehicle, Various power semiconductor devices for Power ECU Part of Vehicle, Clean energy system Part of Vehicle, Power Steering Reservoir Tank Part of Vehicle, Turbine Wheel Part of Vehicle, Solar Sensor Part of Vehicle, Air Suspension Part of Vehicle, Fog Lamp Part of Vehicle, Battery Part of Vehicle, Hydroforming Part of Vehicle, Clean energy system Part of Vehicle, Solar Sensor Part of Vehicle"
n4524,Austria,Transmission Part of Vehicle
n4525,Japan,Plastic extruded parts Part of Vehicle
n4526,South Korea,"Steel, Iron ore, Coal, Aluminium high purity, Iron ore lumps"
n4527,China,"Coal, Coal, Coking coal, Coal, Coking coal concentrate, Coal, Coal"
n4528,Spain,Turbine Wheel Part of Vehicle
n4529,South Korea,Industrial Support Services
n4530,Taiwan,Household Products
n4531,Hong Kong,Aluminium high purity
n4532,France,Fuel Tank Parts Part of Vehicle
n4533,China,Small form and t-foundry
n4534,United States,"GPS Antenna Part of Vehicle, Health Care Facilities & Svcs, Vehicle Emergency System Part of Vehicle, Flywheel Ring Gear Part of Vehicle, Propeller Shaft Part of Vehicle, Air Conditioner Receiver Part of Vehicle, Air Conditioner Receiver Part of Vehicle, Propeller Shaft Part of Vehicle, Door Parts Part of Vehicle, Security System Part of Vehicle, Cockpit Module Part of Vehicle"
n4535,,
n4536,South Korea,Tin plates
n4537,Austria,Oil Pump Part of Vehicle
n4538,Japan,Engine Parts Part of Vehicle
n4539,China,Diesel Injection System Part of Vehicle
n4540,,"Cold-rolled sheet, Hot-rolled sheet, Hot-rolled sheet, Cold-rolled sheet, Covers"
n4541,South Korea,"Cold-rolled coil cold-rolled sheets, Barbed wire, Hot-rolled sheet"
n4542,Philippines,Asset Management
n4543,Indonesia,"Limestone, Limestone"
n4544,Japan,Industrial Support Services
n4545,Thailand,"Welded pipes and rebars, Galvanized steel, Pulverized coal injection"
n4546,,"Dash Insulator Part of Vehicle, Air Conditioner ECU Part of Vehicle"
n4547,,Various power semiconductor devices for Power ECU Part of Vehicle
n4548,,Flat bars
n4549,China,"Refined zinc, Zinc, Silver, Refined lead"
n4550,,Steel
n4551,Japan,"Electric Cable Part of Vehicle, Distributor Part of Vehicle, Vehicle Emergency System Part of Vehicle, Vehicle Emergency System Part of Vehicle, ETC Part of Vehicle"
n4552,India,Oil Pan Part of Vehicle
n4553,Malaysia,"Asset Management, Asset Management"
n4554,Indonesia,Home Construction
n4555,,Real Estate Services
n4556,United States,Asset Management
n4557,Taiwan,Machining Part of Vehicle
n4558,,"Home Construction, Home Construction, Categories by Production process Part of Vehicle, Engine Part of Vehicle, Clean energy system Part of Vehicle, Electrical steel sheet Part of Vehicle, Tool Set Part of Vehicle, Clean energy system Part of Vehicle, Commercial Support Services"
n4559,Australia,Blower Part of Vehicle
n4560,China,"Clean energy system Part of Vehicle, Consumer Services, Automatic Transmission Carrier Part of Vehicle"
n4561,Netherlands,Asset Management
n4562,United States,Industrial Support Services
n4563,India,Limestone
n4564,,
n4565,Japan,Ignition Parts Part of Vehicle
n4566,Israel,"Commercial Support Services, Commercial Support Services, Passenger Airbag Module Part of Vehicle"
n4567,Germany,"Steel meshes, Small form and t-foundry, Coal, Molten metal, Iron ore, Iron ore"
n4568,Brazil,Various Lamps Part of Vehicle
n4569,China,Various Motor Part of Vehicle
n4570,,
n4571,Russian Federation,"Clean energy system Part of Vehicle, Transmission Part of Vehicle, Transmission Part of Vehicle"
n4572,,
n4573,Ireland,Exhaust Gasket Part of Vehicle
n4574,Vietnam,"Stamping Part of Vehicle, Machining Part of Vehicle, Welding Part of Vehicle"
n4575,Sweden,"Various processes Part of Vehicle, Containers & Packaging"
n4576,Japan,"IGBT devices for Converter Part of Vehicle, Electric Connector Part of Vehicle, Connector Part of Vehicle"
n4577,Australia,Asset Management
n4578,Taiwan,"Wire rod, Steel"
n4579,Japan,"Electronics/Electric Parts Part of Vehicle, Suspension Control Part of Vehicle, Gasoline Fuel Injection System Part of Vehicle, Brake Part of Vehicle, Air Conditioner Compressor Part of Vehicle"
n4580,,"Manganese, Copper cathode"
n4581,China,"Various power semiconductor devices for Power ECU Part of Vehicle, Transmission Part of Vehicle"
n4582,Japan,Hot-rolled coil
n4583,,
n4584,Japan,"Chemical grade alumina, Food"
n4585,China,"Various Motor Part of Vehicle, Component Parts Part of Vehicle, Motorcycle parts Part of Vehicle"
n4586,Germany,Cockpit Part of Vehicle
n4587,,"Diamonds, High purity, Leisure Products"
n4588,United States,"Home & Office Products, Adhesive Part of Vehicle, Stamping Part of Vehicle, Fuel Filter Part of Vehicle, Retail - Discretionary, Containers & Packaging"
n4589,United States,"Seat Cushion/Seat Back Part of Vehicle, Component Parts Part of Vehicle, Containers & Packaging, Various surface treatment Part of Vehicle, Seat Part of Vehicle, Seat Parts Part of Vehicle"
n4590,Vietnam,"Gasoline Fuel Injection System Part of Vehicle, Motorcycle parts Part of Vehicle"
n4591,United States,Fertilizer
n4592,Japan,"Steel, Steel"
n4593,,"Automatic Transmission Parts Part of Vehicle, Lamp Parts Part of Vehicle, Automatic Transmission Parts Part of Vehicle, Automatic Transmission Parts Part of Vehicle, Machining Part of Vehicle, Engine Control Parts Part of Vehicle, Power control system parts (Electric Vehicle/Hybrid Vehicle/Fuel Cell Vehicle) Part of Vehicle, Engine Electric Parts Part of Vehicle, Hydrogen tank Part of Vehicle, Nonwoven Cloth Part of Vehicle"
n4594,South Korea,Remelt
n4595,India,Various power semiconductor devices for Power ECU Part of Vehicle
n4596,,
n4597,China,Sulphuric acid
n4598,Japan,Electronics Parts Part of Vehicle
n4599,,
n4600,Japan,Railroad rails
n4601,South Korea,Electronics/Electric Parts Part of Vehicle
n4602,,"Aluminium high purity, Tin plates"
n4603,China,Industrial Support Services
n4604,China,Chemical grade alumina
n4605,,"Steel, Hot-rolled strip"
n4606,India,Gasket Part of Vehicle
n4607,Italy,"Disc Brake Part of Vehicle, Brake Caliper Part of Vehicle, Brake Parts Part of Vehicle"
n4608,United Kingdom,"Copper, Lignite"
n4609,India,
n4610,United Kingdom,"Commercial Support Services, All Selected, Common Rail Part of Vehicle, Real Estate Owners & Developers"
n4611,China,"Asset Management, Uranium"
n4612,Canada,Industrial Support Services
n4613,China,"Steel, Small form and t-foundry, Hard coking coal, Small form and t-foundry"
n4614,China,"Refined zinc, Food, Chemical grade alumina, Beverages, Chemical grade alumina"
n4615,Russian Federation,
n4616,United States,Clean energy system Part of Vehicle
n4617,Argentina,Oil Pump Part of Vehicle
n4618,,"Banking, Chemical grade alumina, Alumina hydrate"
n4619,Japan,Suspension Ball Joint Part of Vehicle
n4620,China,"Crank Shaft Part of Vehicle, Engine Undercover Part of Vehicle, Propeller Shaft Part of Vehicle, Road Wheel Parts Part of Vehicle, Flywheel Part of Vehicle, Turbine Wheel Part of Vehicle"
n4621,Indonesia,"Coal, Iron pellets, Coking coal concentrate, Copper, Copper, Copper, Molten metal, Copper, Leisure Products"
n4622,Japan,Electronics Parts Part of Vehicle
n4623,Japan,"Home Construction, Specialty Finance, All Selected, Home Construction, Various processes Part of Vehicle"
n4624,India,"Organic-coated rolls, Railroad rails"
n4625,United Kingdom,Fuel Handling And Evapo System Part of Vehicle
n4626,,"Aluminum casting Part of Vehicle, Component Parts Part of Vehicle, Component Parts Part of Vehicle, Alloy Wheel Part of Vehicle"
n4627,United States,Optical Fiber Part of Vehicle
n4628,,"Copper, Remelt"
n4629,India,Leisure Products
n4630,United States,Thermal coal
n4631,Japan,Electrolyte for Lithium Ion Battery Part of Vehicle
n4632,Japan,"Steel meshes, Steel, Hard coking coal, Asset Management, Iron ore"
n4633,Taiwan,Air Intake Module Part of Vehicle
n4634,Venezuela,"Sulphuric acid, Forestry, Paper & Wood Products"
n4635,Belgium,"Hot-rolled sheet, Hot-rolled strip, Black plates, Wire rods, Wire rods, Covers"
n4636,Japan,Sulphuric acid
n4637,China,Nickel
n4638,Australia,"Automatic Transmission Carrier Part of Vehicle, Bush / Seal Part of Vehicle, Industrial Support Services, Industrial Support Services, Industrial Support Services"
n4639,India,"Heat treatment Part of Vehicle, Refrigerant Tank Part of Vehicle, Air Intake Resonator Part of Vehicle, Health Care Facilities & Svcs, Terminal Part of Vehicle"
n4640,United States,Internet Media & Services
n4641,China,Cold-rolled steel rolls
n4642,India,"Steel slab, Limestone, Steel slab"
n4643,Philippines,Asset Management
n4644,Australia,"Coal, Iron ore pellets, Steel, Railroad rails"
n4645,,
n4646,,"Valve Train Parts Part of Vehicle, Health Care Facilities & Svcs, Industrial Support Services, Airbag System Part of Vehicle, Rear View Monitor Part of Vehicle"
n4647,United States,"Air Bag Fabric Part of Vehicle, Parts For Air Purifier Part of Vehicle, Air/Fuel Management Part of Vehicle"
n4648,United States,"Steel, Hot-rolled strip, Iron ore, Coke"
n4649,United States,"Various power semiconductor devices for Power ECU Part of Vehicle, Distributor Part of Vehicle, Home Construction, Various processes Part of Vehicle, Clean energy system Part of Vehicle"
n4650,Libyan Arab Jamahiriya,Remelt
n4651,,"Dolomite, Aluminium, Limestone, Sulphuric acid, Lithium"
n4652,United States,Planetary Gear Part of Vehicle
n4653,Japan,
n4654,Japan,"Home & Office Products, Security System Part of Vehicle, Steering Gear Part of Vehicle, Rear View Monitor Part of Vehicle, Outside Handle Part of Vehicle, Electronics/Electric Parts Part of Vehicle, Electronic Throttle Control System Part of Vehicle, Sensors Part of Vehicle, Exterior Parts Part of Vehicle, Wheel Cap/Cover Part of Vehicle, Key Set Part of Vehicle, Security System Part of Vehicle, Engine Parts Part of Vehicle, Electric Connector Part of Vehicle"
n4655,United States,Tinplate
n4656,,Aluminium wire rod
n4657,Russian Federation,Copper
n4658,Cayman Islands,ETC Part of Vehicle
n4659,South Korea,Electronics/Electric Parts Part of Vehicle
n4660,,
n4661,Japan,Zircon
n4662,Mexico,"Steel slab, Steel slab, Limestone, Steel slab"
n4663,China,Antenna Motor Part of Vehicle
n4664,United States,"Steel, Pgm"
n4665,,
n4666,"Virgin Islands, British",Hot dipped galvanized steel
n4667,Norway,Oil Seal Part of Vehicle
n4668,Chile,Clean energy system Part of Vehicle
n4669,South Korea,
n4670,United States,Asset Management
n4671,,Turbine Wheel Part of Vehicle
n4672,Taiwan,Various Semiconductors Part of Vehicle
n4673,China,Gasket Part of Vehicle
n4674,Germany,Brake By Wire Part of Vehicle
n4675,Germany,"Stamping Part of Vehicle, Paint Coating Part of Vehicle, Home & Office Products, Paint Coating Part of Vehicle, Commercial Support Services, Containers & Packaging"
n4676,United States,Industrial Support Services
n4677,Japan,"Small form and t-foundry, Rebars, Wire rod, Pgm, Small form and t-foundry, Small form and t-foundry, Food"
n4678,,"Steel, Steel, Real Estate Services"
n4679,Germany,"Software, Iridium"
n4680,China,"Iron, Ruthenium, Molybdenum, Alumina, Chrome, Nickel-cobalt mixed sulfide, Gold"
n4681,United States,Molten metal
n4682,,Software
n4683,United States,"Solar Sensor Part of Vehicle, Battery Part of Vehicle"
n4684,United States,
n4685,China,Various power semiconductor devices for Power ECU Part of Vehicle
n4686,India,Thermal coal
n4687,,"Steel, Wire rods, Steel angles, Steel, Aluminium, Wire rods, Food, Steel, Steel"
n4688,Japan,"Barbed wire, Limestone"
n4689,South Korea,Solar Sensor Part of Vehicle
n4690,South Korea,"Battery Part of Vehicle, Battery Part of Vehicle"
n4691,China,"Software, Software, Pci, Small form and t-foundry, Software"
n4692,Vietnam,
n4693,,"Commercial Support Services, Industrial Support Services, Commercial Support Services, Commercial Support Services, Rear Parcel Part of Vehicle, Air Suspension Part of Vehicle, Hydroforming Part of Vehicle, Distributor Part of Vehicle, Air Cleaner Part of Vehicle, Driving Support Systems Part of Vehicle, Industrial Support Services"
n4694,China,"Voltage Meter Part of Vehicle, Home Construction"
n4695,,"Machining Part of Vehicle, Iron casting Part of Vehicle, Rubber-metal parts Part of Vehicle"
n4696,Vietnam,Oil Pan Part of Vehicle
n4697,China,Car Navigation Part of Vehicle
n4698,Australia,"Iron ore, Copper, Tin, Lithium, Iron ore, Bauxite, Nickel"
n4699,Taiwan,Various power semiconductor devices for Converter Part of Vehicle
n4700,,Steel meshes
n4701,South Korea,Asset Management
n4702,India,"Drive Train Part of Vehicle, Wholesale - Discretionary, Publishing & Broadcasting, Commercial Support Services, Distributor Part of Vehicle, Leisure Facilities & Services, Air Conditioner Receiver Part of Vehicle, Publishing & Broadcasting, Publishing & Broadcasting"
n4703,United States,Leisure Facilities & Services
n4704,Japan,Rubber injection molding parts Part of Vehicle
n4705,Japan,"Glass Run Part of Vehicle, ETC Part of Vehicle, Specialty Finance"
n4706,,"Aluminium, Aluminium, Aluminium, Aluminium hydroxide, Hot dip galvanized sheet"
n4707,,"Real Estate Services, Limestone, Limestone, Limestone, Asset Management, Fertilizer"
n4708,,"Telematics Communication System Part of Vehicle, Electric Connector Part of Vehicle, Optical Fiber Part of Vehicle, Connector Part of Vehicle, Electric Connector Part of Vehicle, Sensors Part of Vehicle, Electronics Parts Part of Vehicle, Containers & Packaging, Telematics Communication System Part of Vehicle, Seat Reclining Device Part of Vehicle, Containers & Packaging, Various surface treatment Part of Vehicle"
n4709,India,Air/Fuel Management Part of Vehicle
n4710,China,"Organic-coated rolls, Cobalt hydroxide, Ruthenium, Palladium, Forestry, Paper & Wood Products, Copper anode, Copper cathode, Lithium, Sinter"
n4711,United States,Asset Management
n4712,Japan,"Railroad rails, Wire rods, Black plates, Hot-rolled coil, Welded pipes and rebars, Steel, Aluminium wire rod, Refined silver"
n4713,Taiwan,IC Regulator Part of Vehicle
n4714,Brazil,Asset Management
n4715,Australia,Thermal coal
n4716,India,"Small/General Parts Part of Vehicle, General Commodity Part of Vehicle"
n4717,China,Real Estate Services
n4718,India,"Iron ore, Copper, Phosphates, Limestone, Dolomite, Rhodium, Iron ore lumps, Bauxite, Diamonds, Tin, Molten metal, Pyrite"
n4719,Mexico,"Limestone, Steel slab, Steel slab"
n4720,India,Air Intake Module Part of Vehicle
n4721,,"Household Products, Copper anode"
n4722,China,"Rutile, Fertilizer, Coke, Niobium, Phosphates, High-carbon ferromanganese"
n4723,Spain,
n4724,,
n4725,Japan,Chemical grade alumina
n4726,Spain,
n4727,Japan,High-carbon ferromanganese
n4728,Canada,Various power semiconductor devices for Power ECU Part of Vehicle
n4729,,
n4730,United States,"Hydroforming Part of Vehicle, Industrial Support Services"
n4731,Japan,"Various Motor Part of Vehicle, Cylinder Liner Part of Vehicle, Transmission Part of Vehicle, ABS Actuator Part of Vehicle, Engine Parts Part of Vehicle, Carburetor Parts Part of Vehicle, Piston Part of Vehicle, Piston Ring Part of Vehicle, Exhaust Valve Part of Vehicle"
n4732,United States,Various power semiconductor devices for Power ECU Part of Vehicle
n4733,Canada,"Asset Management, Small form and t-foundry, Platinum"
n4734,United States,Oil Pump Part of Vehicle
n4735,United States,Terminal Part of Vehicle
n4736,Japan,Memory Part of Vehicle
n4737,China,Auxiliary Heater Part of Vehicle
n4738,,"Fertilizer, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products"
n4739,Japan,"Phosphates, Tin plates, Household Products, Aluminium, Copper cathode, Steel slab"
n4740,United Arab Emirates,
n4741,Japan,Asset Management
n4742,Japan,"Iron, Chemical grade alumina"
n4743,India,Industrial Support Services
n4744,United States,"Small form and t-foundry, Beverages"
n4745,,"Steel bar, Software, PCB, PCB Mounted Products Part of Vehicle"
n4746,China,"Various Motor Part of Vehicle, Aluminum casting Part of Vehicle, Aluminum casting Part of Vehicle, Magnet Part of Vehicle, Electric Power Steering Part of Vehicle, Aluminum casting Part of Vehicle, Aluminum casting Part of Vehicle, Turbo Charger Part of Vehicle"
n4747,Japan,"Distributor Part of Vehicle, Oil Pump Part of Vehicle, Distributor Part of Vehicle, Distributor Part of Vehicle, Oil Pump Part of Vehicle, General Commodity Part of Vehicle, GPS Part of Vehicle, Instrument Panel Part of Vehicle"
n4748,Japan,"Containers & Packaging, Transmission Part of Vehicle, Memory Part of Vehicle, Corner Detecting And Ranging System Part of Vehicle, Automatic Control Parts Part of Vehicle, Tool Set Part of Vehicle"
n4749,Japan,"Catalyst Carrier Part of Vehicle, Diesel Fuel Filter   Part of Vehicle, Fuel cell catalyst Part of Vehicle, Diesel Fueｌ Filter   Part of Vehicle, Catalyst Carrier Part of Vehicle, Catalyst Carrier Part of Vehicle, Fuel cell catalyst Part of Vehicle, Catalyst Carrier Part of Vehicle"
n4750,China,"Aluminium ingot, Cold-rolled steel"
n4751,China,"Manganese, Silicomanganese, Alumina"
n4752,China,Limestone
n4753,Japan,Automatic Transmission Control Unit Part of Vehicle
n4754,Japan,Steel meshes
n4755,,"Electric Cable Part of Vehicle, Electric Cable Part of Vehicle, Front End Module Part of Vehicle, Industrial Support Services, Voltage Meter Part of Vehicle, Front Suspension Corner Module Part of Vehicle"
n4756,,"Tin, Ruthenium, Software, Silver, Palladium"
n4757,China,"Various power semiconductor devices for Power ECU Part of Vehicle, Clean energy system Part of Vehicle, Solar Sensor Part of Vehicle"
n4758,Australia,Iron concentrate
n4759,,"Pci, Rutile, Steel bar, Molten metal, Flat bars, Hot dip galvanized sheet, Hot-rolleds steel, T-foundry, Banking, Refined zinc"
n4760,France,"Air Intake Module Part of Vehicle, Telematics Communication System Part of Vehicle, Balance Shaft Gear Part of Vehicle"
n4761,Japan,"Steel, Chemical grade alumina"
n4762,China,"Asset Management, Railroad rails"
n4763,Switzerland,Aluminium
n4764,,Sulphuric acid
n4765,United States,Fertilizer
